nameWithOwner,createdAt,stargazerCount,commitCount
beemdevelopment/Aegis,2016-08-15T19:10:31Z,7810,154
dropwizard/metrics,2010-02-26T19:44:42Z,7793,380
trello/RxLifecycle,2015-07-20T13:32:23Z,7718,0
Grasscutters/Grasscutter,2022-04-17T12:43:46Z,15567,403
dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,15548,0
prestodb/presto,2012-08-09T01:03:37Z,15528,1972
thingsboard/thingsboard,2016-12-01T09:33:30Z,15454,5460
android10/Android-CleanArchitecture,2014-08-19T14:09:26Z,15451,0
LSPosed/LSPosed,2020-12-12T08:39:37Z,15350,361
heibaiying/BigData-Notes,2019-03-10T01:40:01Z,15175,2
YunaiV/yudao-cloud,2019-05-02T16:06:49Z,15118,512
ben-manes/caffeine,2014-12-13T08:45:11Z,15107,629
alibaba/DataX,2018-01-18T10:09:47Z,15037,151
android-hacker/VirtualXposed,2017-12-01T09:00:58Z,15007,0
dataease/dataease,2021-02-02T04:10:21Z,14894,3364
hdodenhof/CircleImageView,2014-01-17T16:44:46Z,14528,1
mockito/mockito,2012-10-13T20:27:12Z,14526,218
alibaba/ARouter,2016-12-14T01:27:49Z,14371,0
Tencent/QMUI_Android,2017-04-21T10:03:18Z,14306,1
Konloch/bytecode-viewer,2014-10-14T10:26:46Z,14288,48
apache/hadoop,2014-08-28T07:00:08Z,14260,842
zhisheng17/flink-learning,2019-01-01T07:38:28Z,14200,1
eclipse-vertx/vert.x,2011-06-17T14:54:55Z,14019,613
arduino/Arduino,2010-09-17T19:10:36Z,13972,0
elastic/logstash,2010-11-18T01:31:50Z,13971,364
orhanobut/logger,2015-03-20T22:30:12Z,13758,0
apache/pulsar,2016-06-28T07:00:03Z,13673,1383
lgvalle/Material-Animations,2015-03-08T20:54:00Z,13544,0
Curzibn/Luban,2016-07-24T07:43:21Z,13480,0
tink-crypto/tink,2014-06-06T16:21:09Z,13454,1982
java-decompiler/jd-gui,2015-03-25T05:28:41Z,13448,0
deeplearning4j/deeplearning4j,2013-11-27T02:03:28Z,13396,100
questdb/questdb,2014-04-28T23:29:15Z,13380,729
seaswalker/spring-analysis,2016-09-09T07:46:32Z,13349,2
GoogleContainerTools/jib,2018-01-22T18:30:43Z,13342,104
JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,13298,0
gyoogle/tech-interview-for-developer,2019-06-09T04:42:57Z,13252,58
pinpoint-apm/pinpoint,2014-10-20T09:27:22Z,13189,782
apache/druid,2012-10-23T19:08:07Z,13161,1548
Netflix/zuul,2013-03-13T18:53:57Z,13125,246
LuckSiege/PictureSelector,2017-01-04T07:47:39Z,13027,139
quarkusio/quarkus,2018-07-06T00:44:20Z,12994,9547
sqshq/piggymetrics,2015-03-29T17:56:31Z,12951,0
Netflix/conductor,2016-12-07T22:48:42Z,12920,254
youth5201314/banner,2016-04-22T05:50:25Z,12704,1
macrozheng/mall-learning,2019-04-12T13:20:31Z,12675,3
