nameWithOwner,closedIssuesCount
hpcaitech/ColossalAI,1176
FreeCodeCampChina/freecodecamp.cn,445
tabler/tabler,805
google-research/bert,352
prisma/prisma,6939
wg/wrk,261
getsentry/sentry,9324
opentofu/manifesto,11
chakra-ui/chakra-ui,3273
freefq/free,174
metabase/metabase,13636
alist-org/alist,2949
sudheerj/reactjs-interview-questions,88
0voice/interview_internal_reference,18
slatedocs/slate,557
eugenp/tutorials,716
dylanaraps/pure-bash-bible,33
lyswhut/lx-music-desktop,1067
QSCTech/zju-icicles,62
Stability-AI/stablediffusion,67
AobingJava/JavaFamily,60
gto76/python-cheatsheet,60
go-gorm/gorm,5225
exacity/deeplearningbook-chinese,138
cli/cli,3496
satwikkansal/wtfpython,124
koajs/koa,866
XingangPan/DragGAN,46
byoungd/English-level-up-tips,69
istio/istio,18382
vim/vim,6417
nodejs/node-v0.x-archive,6380
chenfei-wu/TaskMatrix,133
bumptech/glide,3894
unknwon/the-way-to-go_ZH_CN,0
dotnet/aspnetcore,29800
apache/airflow,7987
BVLC/caffe,3896
carbon-app/carbon,600
odoo/odoo,14669
zenorocha/clipboard.js,611
formulahendry/955.WLB,76
openai/gym,1717
curl/curl,4354
shadowsocks/shadowsocks,0
ClickHouse/ClickHouse,15684
babysor/MockingBird,410
date-fns/date-fns,1291
jaredpalmer/formik,1545
AFNetworking/AFNetworking,0
bradtraversy/50projects50days,0
adobe/brackets,7067
junegunn/vim-plug,899
Blankj/AndroidUtilCode,1276
gulpjs/gulp,1868
immutable-js/immutable-js,1128
jesseduffield/lazydocker,178
Kong/insomnia,2792
lllyasviel/Fooocus,1091
XX-net/XX-Net,5385
netty/netty,5774
tmux/tmux,3210
google/googletest,1933
WerWolv/ImHex,777
pocketbase/pocketbase,1190
fxsjy/jieba,225
shadowsocks/ShadowsocksX-NG,1044
bilibili/ijkplayer,2531
docker/compose,7169
photoprism/photoprism,1624
hankcs/HanLP,1388
tldraw/tldraw,413
lapce/lapce,1037
PKUanonym/REKCARC-TSC-UHT,27
Trinea/android-open-project,71
files-community/Files,8855
bevyengine/bevy,2893
httpie/cli,690
mbeaudru/modern-js-cheatsheet,42
directus/directus,7328
emscripten-core/emscripten,7256
pola-rs/polars,5421
SDWebImage/SDWebImage,2217
airbnb/lottie-ios,1332
surrealdb/surrealdb,761
signalapp/Signal-Android,10299
haizlin/fe-interview,25
Vision-CAIR/MiniGPT-4,119
scwang90/SmartRefreshLayout,1209
nicolargo/glances,1535
gchq/CyberChef,552
dotnet-architecture/eShopOnContainers,1208
greenrobot/EventBus,480
taichi-dev/taichi,1860
react-native-elements/react-native-elements,2002
python-telegram-bot/python-telegram-bot,2062
s0md3v/roop,0
fish-shell/fish-shell,6547
vuejs/devtools,1127
vercel/pkg,1426
matteocrippa/awesome-swift,132
mbadolato/iTerm2-Color-Schemes,82
eslint/eslint,9914
iview/iview,4474
mdbootstrap/mdb-ui-kit,1172
rwaldron/idiomatic.js,48
zbezj/HEU_KMS_Activator,18
johnpapa/angular-styleguide,362
ossrs/srs,1216
sirupsen/logrus,680
openssl/openssl,7488
OpenZeppelin/openzeppelin-contracts,1653
Wox-launcher/Wox,3337
tailwindlabs/headlessui,1089
VundleVim/Vundle.vim,552
tmrts/go-patterns,13
firecracker-microvm/firecracker,1284
envoyproxy/envoy,9225
vapor/vapor,1549
NativeScript/NativeScript,5782
alibaba/flutter-go,0
ramda/ramda,1491
DrKLO/Telegram,0
keon/algorithms,100
locustio/locust,1554
svc-develop-team/so-vits-svc,109
KRTirtho/spotube,553
jumpserver/jumpserver,5971
ueberdosis/tiptap,2113
android/architecture-components-samples,538
makeplane/plane,355
reduxjs/react-redux,1238
celery/celery,4377
requarks/wiki,2419
restic/restic,2077
Textualize/textual,1469
rwf2/Rocket,1454
vnpy/vnpy,2017
elixir-lang/elixir,5247
guzzle/guzzle,1819
highlightjs/highlight.js,1951
datawhalechina/pumpkin-book,54
