nameWithOwner,createdAt,stargazerCount,commitCount
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,141920,811
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,86459,369
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,86094,256
macrozheng/mall,2018-04-04T01:11:44Z,74762,115
doocs/advanced-java,2018-10-06T11:38:30Z,73829,22
spring-projects/spring-boot,2012-10-19T15:02:57Z,72215,7064
krahets/hello-algo,2022-11-04T11:08:34Z,71284,1314
kdn251/interviews,2017-02-14T18:19:25Z,61405,0
spring-projects/spring-framework,2010-12-08T04:04:45Z,54774,3737
google/guava,2014-05-29T16:23:17Z,49226,493
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,46844,3180
apache/dubbo,2012-06-19T07:56:02Z,39904,1407
skylot/jadx,2013-03-18T17:08:21Z,38519,285
jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,37371,259
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,37184,0
eugenp/tutorials,2013-04-29T18:26:36Z,35795,4725
bumptech/glide,2013-07-08T22:52:33Z,34276,179
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,32862,0
netty/netty,2010-11-09T09:22:21Z,32602,407
zxing/zxing,2011-10-12T14:07:27Z,32117,112
halo-dev/halo,2018-03-21T12:56:52Z,30955,873
alibaba/easyexcel,2018-02-06T03:14:08Z,30669,203
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,29841,0
termux/termux-app,2015-10-23T09:42:46Z,29775,26
SeleniumHQ/selenium,2013-01-14T21:40:56Z,29051,2108
alibaba/nacos,2018-06-15T06:49:27Z,28789,442
doocs/leetcode,2018-09-16T14:03:03Z,28377,2715
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,28155,642
dromara/hutool,2014-04-13T07:23:51Z,28124,647
wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,27648,0
alibaba/canal,2013-01-13T10:59:52Z,27548,84
alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,27109,119
crossoverJie/JCSprout,2017-12-17T09:06:50Z,27073,0
lenve/vhr,2018-01-04T08:57:51Z,26872,4
JakeWharton/butterknife,2013-03-05T08:18:59Z,25581,0
hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,25127,3
apache/incubator-seata,2018-12-28T08:37:22Z,24854,310
scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,24638,32
greenrobot/EventBus,2012-07-16T16:55:40Z,24567,0
DrKLO/Telegram,2013-10-25T14:08:10Z,23532,52
google/gson,2015-03-19T18:21:20Z,22890,218
redisson/redisson,2014-01-11T14:06:25Z,22548,1264
elunez/eladmin,2018-12-14T08:54:24Z,20695,53
apache/rocketmq,2016-11-30T08:00:08Z,20403,701
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,20329,0
ReactiveX/RxAndroid,2014-08-19T03:46:38Z,19853,11
oracle/graal,2016-01-14T17:11:35Z,19673,10190
OpenAPITools/openapi-generator,2018-05-12T09:57:56Z,19466,1796
mybatis/mybatis-3,2013-02-14T19:03:32Z,19297,536
brettwooldridge/HikariCP,2013-10-08T05:43:03Z,19282,26
linlinjava/litemall,2018-03-22T16:42:30Z,18794,12
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,18791,1580
Baseflow/PhotoView,2012-07-17T16:39:00Z,18684,0
iBotPeaches/Apktool,2012-03-19T17:46:53Z,18569,217
yudaocode/SpringBoot-Labs,2018-09-12T14:51:46Z,18245,0
openjdk/jdk,2018-09-17T12:29:20Z,18103,5781
forezp/SpringCloudLearning,2017-04-08T10:06:56Z,17702,0
facebook/fresco,2015-03-02T09:58:04Z,17032,356
Tencent/tinker,2016-09-06T06:57:52Z,17022,25
LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,16939,30
openzipkin/zipkin,2012-06-06T18:26:16Z,16657,203
Tencent/APIJSON,2016-11-21T12:03:29Z,16480,181
williamfiset/Algorithms,2017-03-18T02:50:46Z,16355,99
infinilabs/analysis-ik,2011-12-16T09:01:45Z,15993,8
JeffLi1993/springboot-learning-example,2017-02-06T07:02:25Z,15973,2
justauth/JustAuth,2019-01-31T09:42:20Z,15880,43
material-components/material-components-android,2016-12-05T16:11:29Z,15870,526
doocs/source-code-hunter,2019-10-28T01:35:10Z,15867,17
yuliskov/SmartTube,2020-07-28T12:53:52Z,15596,2837
dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,15545,0
Grasscutters/Grasscutter,2022-04-17T12:43:46Z,15524,403
barry-ran/QtScrcpy,2019-06-23T04:12:17Z,15508,8
LSPosed/LSPosed,2020-12-12T08:39:37Z,15208,361
kunal-kushwaha/DSA-Bootcamp-Java,2021-07-30T12:23:25Z,15123,44
heibaiying/BigData-Notes,2019-03-10T01:40:01Z,15121,2
dromara/Sa-Token,2020-02-03T10:34:29Z,15112,435
YunaiV/yudao-cloud,2019-05-02T16:06:49Z,15041,505
android-hacker/VirtualXposed,2017-12-01T09:00:58Z,14989,0
hdodenhof/CircleImageView,2014-01-17T16:44:46Z,14526,1
mockito/mockito,2012-10-13T20:27:12Z,14510,215
alibaba/ARouter,2016-12-14T01:27:49Z,14369,0
Tencent/QMUI_Android,2017-04-21T10:03:18Z,14306,1
Konloch/bytecode-viewer,2014-10-14T10:26:46Z,14277,48
apache/hadoop,2014-08-28T07:00:08Z,14224,813
eclipse-vertx/vert.x,2011-06-17T14:54:55Z,13993,606
arduino/Arduino,2010-09-17T19:10:36Z,13969,0
elastic/logstash,2010-11-18T01:31:50Z,13958,354
orhanobut/logger,2015-03-20T22:30:12Z,13755,0
apache/pulsar,2016-06-28T07:00:03Z,13632,1344
lgvalle/Material-Animations,2015-03-08T20:54:00Z,13546,0
Curzibn/Luban,2016-07-24T07:43:21Z,13484,0
tink-crypto/tink,2014-06-06T16:21:09Z,13444,1982
java-decompiler/jd-gui,2015-03-25T05:28:41Z,13404,0
Bigkoo/Android-PickerView,2014-12-28T01:46:38Z,13393,0
deeplearning4j/deeplearning4j,2013-11-27T02:03:28Z,13381,100
questdb/questdb,2014-04-28T23:29:15Z,13353,707
gyoogle/tech-interview-for-developer,2019-06-09T04:42:57Z,13186,58
pinpoint-apm/pinpoint,2014-10-20T09:27:22Z,13171,739
apache/druid,2012-10-23T19:08:07Z,13150,1521
Netflix/zuul,2013-03-13T18:53:57Z,13116,243
Grasscutters/Grasscutter,2022-04-17T12:43:46Z,15524,403
