nameWithOwner,createdAt,stargazerCount,commitCount
java-decompiler/jd-gui,2015-03-25T05:28:41Z,13460,0
hdodenhof/CircleImageView,2014-01-17T16:44:46Z,14528,1
alibaba/ARouter,2016-12-14T01:27:49Z,14371,0
Tencent/QMUI_Android,2017-04-21T10:03:18Z,14309,1
Konloch/bytecode-viewer,2014-10-14T10:26:46Z,14298,48
zhisheng17/flink-learning,2019-01-01T07:38:28Z,14210,1
elastic/logstash,2010-11-18T01:31:50Z,13971,365
orhanobut/logger,2015-03-20T22:30:12Z,13760,0
apache/pulsar,2016-06-28T07:00:03Z,13683,1388
lgvalle/Material-Animations,2015-03-08T20:54:00Z,13544,0
Curzibn/Luban,2016-07-24T07:43:21Z,13483,0
java-decompiler/jd-gui,2015-03-25T05:28:41Z,13460,0
tink-crypto/tink,2014-06-06T16:21:09Z,13456,2021
deeplearning4j/deeplearning4j,2013-11-27T02:03:28Z,13397,100
questdb/questdb,2014-04-28T23:29:15Z,13385,733
seaswalker/spring-analysis,2016-09-09T07:46:32Z,13350,2
GoogleContainerTools/jib,2018-01-22T18:30:43Z,13346,105
JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,13299,0
gyoogle/tech-interview-for-developer,2019-06-09T04:42:57Z,13278,58
apache/druid,2012-10-23T19:08:07Z,13166,1557
Netflix/zuul,2013-03-13T18:53:57Z,13135,246
LuckSiege/PictureSelector,2017-01-04T07:47:39Z,13034,139
Netflix/conductor,2016-12-07T22:48:42Z,12919,254
macrozheng/mall-learning,2019-04-12T13:20:31Z,12683,3
theonedev/onedev,2018-11-06T02:57:01Z,12610,690
greenrobot/greenDAO,2011-10-22T16:15:14Z,12608,1
projectlombok/lombok,2009-06-08T19:46:41Z,12550,270
zhihu/Matisse,2017-04-13T01:31:05Z,12487,0
daimajia/AndroidViewAnimations,2014-06-23T03:53:13Z,12394,0
neo4j/neo4j,2012-11-12T08:46:15Z,12374,3182
google/guice,2014-05-28T23:18:53Z,12332,85
janishar/mit-deep-learning-book-pdf,2017-04-07T10:46:50Z,12251,1
Netflix/eureka,2012-07-26T22:23:07Z,12189,18
DuGuQiuBai/Java,2015-11-25T07:30:08Z,12169,0
pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,12036,58
chat2db/Chat2DB,2023-06-20T14:05:26Z,11960,3399
apache/dolphinscheduler,2019-03-01T16:39:25Z,11921,690
zaproxy/zaproxy,2015-06-03T16:55:01Z,11913,587
apache/zookeeper,2009-03-27T15:41:56Z,11891,109
supertokens/supertokens-core,2020-01-05T13:30:52Z,11806,340
pxb1988/dex2jar,2015-03-16T09:13:07Z,11784,25
Tencent/VasSonic,2017-08-01T08:35:13Z,11773,0
Yalantis/uCrop,2016-01-05T13:41:06Z,11745,17
itwanger/toBeBetterJavaer,2018-11-08T00:35:56Z,11702,385
redis/jedis,2010-06-11T13:04:43Z,11573,262
frank-lam/fullstack-tutorial,2018-04-13T01:50:10Z,11438,0
realm/realm-java,2012-04-20T09:18:42Z,11436,83
macrozheng/mall-swarm,2019-11-25T06:55:31Z,11282,16
code4craft/webmagic,2013-04-23T12:57:36Z,11210,45
permissions-dispatcher/PermissionsDispatcher,2015-08-15T21:41:05Z,11210,0
careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,11125,0
alibaba/COLA,2018-02-06T13:46:27Z,11124,37
grpc/grpc-java,2014-12-08T19:00:00Z,11123,605
jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11096,0
mission-peace/interview,2014-07-20T21:27:31Z,10987,0
H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10982,0
amitshekhariitbhu/android-interview-questions,2017-07-09T18:47:24Z,10844,41
alibaba/vlayout,2017-02-27T08:11:47Z,10805,0
daniulive/SmarterStreaming,2016-03-26T14:46:02Z,10795,6
metersphere/metersphere,2020-02-03T02:06:12Z,10753,3690
square/javapoet,2013-02-01T16:56:30Z,10670,50
android-async-http/android-async-http,2011-02-20T03:25:07Z,10639,0
apereo/cas,2011-09-09T01:36:42Z,10600,2581
jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10586,0
cryptomator/cryptomator,2014-02-02T00:43:47Z,10574,1062
jhy/jsoup,2009-12-19T01:29:58Z,10574,268
aosp-mirror/platform_frameworks_base,2008-10-21T18:20:37Z,10572,149589
tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10482,0
