nameWithOwner,createdAt,stargazerCount,commitCount,CBO,DIT,LCOM,LOC
material-components/material-components-android,2016-12-05T16:11:29Z,15901,550,13777,2981,156679,1945
yuliskov/SmartTube,2020-07-28T12:53:52Z,15796,2893,20474,4808,199991,3123
baomidou/mybatis-plus,2016-08-18T10:06:53Z,15686,399,4886,1173,22640,872
Grasscutters/Grasscutter,2022-04-17T12:43:46Z,15577,403,0,0,0,1
dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,15548,0,1209,276,392,270
thingsboard/thingsboard,2016-12-01T09:33:30Z,15471,5491,38137,7138,103332,4523
LSPosed/LSPosed,2020-12-12T08:39:37Z,15377,361,2357,703,20545,428
heibaiying/BigData-Notes,2019-03-10T01:40:01Z,15189,2,440,94,63,78
YunaiV/yudao-cloud,2019-05-02T16:06:49Z,15139,529,23609,3725,81602,3032
ben-manes/caffeine,2014-12-13T08:45:11Z,15121,629,5974,2034,177323,1222
alibaba/DataX,2018-01-18T10:09:47Z,15043,151,5068,1979,20765,1148
android-hacker/VirtualXposed,2017-12-01T09:00:58Z,15009,0,5594,4058,21353,1454
dataease/dataease,2021-02-02T04:10:21Z,14919,3413,3027,775,13848,692
mockito/mockito,2012-10-13T20:27:12Z,14530,220,6896,2912,38064,2078
hdodenhof/CircleImageView,2014-01-17T16:44:46Z,14528,1,33,7,536,4
alibaba/ARouter,2016-12-14T01:27:49Z,14371,0,362,138,1710,99
Tencent/QMUI_Android,2017-04-21T10:03:18Z,14309,1,5829,1737,37675,1067
Konloch/bytecode-viewer,2014-10-14T10:26:46Z,14298,48,1727,825,4611,386
apache/hadoop,2014-08-28T07:00:08Z,14265,847,158426,34953,1490291,21533
eclipse-vertx/vert.x,2011-06-17T14:54:55Z,14024,613,9784,2354,293573,1551
arduino/Arduino,2010-09-17T19:10:36Z,13973,0,1859,796,14725,451
elastic/logstash,2010-11-18T01:31:50Z,13971,365,4492,1333,17056,795
orhanobut/logger,2015-03-20T22:30:12Z,13760,0,105,21,269,19
apache/pulsar,2016-06-28T07:00:03Z,13683,1388,46073,11594,561628,6861
Curzibn/Luban,2016-07-24T07:43:21Z,13483,0,86,34,315,30
java-decompiler/jd-gui,2015-03-25T05:28:41Z,13460,0,1847,984,4524,408
zhisheng17/flink-learning,2019-01-01T07:38:28Z,14210,1,2480,648,1926,577
lgvalle/Material-Animations,2015-03-08T20:54:00Z,13544,0,198,66,214,46
tink-crypto/tink,2014-06-06T16:21:09Z,13456,2021,10934,1893,43637,1466
deeplearning4j/deeplearning4j,2013-11-27T02:03:28Z,13397,100,47530,12268,310620223,5568
questdb/questdb,2014-04-28T23:29:15Z,13385,733,0,0,0,1
seaswalker/spring-analysis,2016-09-09T07:46:32Z,13350,2,80,41,59,34
GoogleContainerTools/jib,2018-01-22T18:30:43Z,13346,105,4776,848,12039,703
JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,13299,0,265,69,1533,50
gyoogle/tech-interview-for-developer,2019-06-09T04:42:57Z,13278,58,17,13,12,14
apache/druid,2012-10-23T19:08:07Z,13166,1557,105242,18400,826613,13744
Netflix/zuul,2013-03-13T18:53:57Z,13135,246,3067,758,11868,473
LuckSiege/PictureSelector,2017-01-04T07:47:39Z,13034,139,3800,912,36444,738
Netflix/conductor,2016-12-07T22:48:42Z,12919,254,4930,833,52240,665
macrozheng/mall-learning,2019-04-12T13:20:31Z,12683,3,2071,483,204202,422
theonedev/onedev,2018-11-06T02:57:01Z,12610,690,43004,10774,158460,7487
greenrobot/greenDAO,2011-10-22T16:15:14Z,12608,1,1827,765,17273,365
projectlombok/lombok,2009-06-08T19:46:41Z,12550,270,8186,2659,51139,1954
zhihu/Matisse,2017-04-13T01:31:05Z,12487,0,506,106,614,77
daimajia/AndroidViewAnimations,2014-06-23T03:53:13Z,12394,0,277,148,188,83
neo4j/neo4j,2012-11-12T08:46:15Z,12374,3182,78339,17984,547693,11967
google/guice,2014-05-28T23:18:53Z,12332,85,12153,4832,29995,3754
janishar/mit-deep-learning-book-pdf,2017-04-07T10:46:50Z,12251,1,0,1,0,2
Netflix/eureka,2012-07-26T22:23:07Z,12189,18,4388,943,13781,743
DuGuQiuBai/Java,2015-11-25T07:30:08Z,12169,0,433,715,603,610
pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,12036,58,1041,255,5364,180
chat2db/Chat2DB,2023-06-20T14:05:26Z,11960,3399,5190,1062,9169,878
apache/dolphinscheduler,2019-03-01T16:39:25Z,11921,690,16922,3420,39908,2579
zaproxy/zaproxy,2015-06-03T16:55:01Z,11913,587,11604,4791,173585,2507
apache/zookeeper,2009-03-27T15:41:56Z,11891,109,9851,3408,64176,1719
supertokens/supertokens-core,2020-01-05T13:30:52Z,11806,340,8496,1173,43270,794
pxb1988/dex2jar,2015-03-16T09:13:07Z,11784,25,3101,897,12067,572
Tencent/VasSonic,2017-08-01T08:35:13Z,11773,0,466,142,2399,112
Yalantis/uCrop,2016-01-05T13:41:06Z,11745,17,485,105,2226,78
itwanger/toBeBetterJavaer,2018-11-08T00:35:56Z,11702,385,0,0,0,1
redis/jedis,2010-06-11T13:04:43Z,11573,262,4487,1207,468660,906
frank-lam/fullstack-tutorial,2018-04-13T01:50:10Z,11438,0,0,0,0,1
realm/realm-java,2012-04-20T09:18:42Z,11436,83,8672,2321,98943,1913
macrozheng/mall-swarm,2019-11-25T06:55:31Z,11282,16,2983,962,845259,780
code4craft/webmagic,2013-04-23T12:57:36Z,11210,45,1464,379,3955,327
permissions-dispatcher/PermissionsDispatcher,2015-08-15T21:41:05Z,11210,0,193,146,4091,120
careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,11125,0,1296,651,2730,610
alibaba/COLA,2018-02-06T13:46:27Z,11124,37,1699,558,1703,416
grpc/grpc-java,2014-12-08T19:00:00Z,11123,605,27725,6948,63055,4976
jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11096,0,376,144,3511,75
mission-peace/interview,2014-07-20T21:27:31Z,10987,0,1341,692,2274,668
H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10982,0,213,51,7362,34
amitshekhariitbhu/android-interview-questions,2017-07-09T18:47:24Z,10844,41,0,1,0,2
alibaba/vlayout,2017-02-27T08:11:47Z,10805,0,845,295,11534,160
daniulive/SmarterStreaming,2016-03-26T14:46:02Z,10795,6,643,180,12318,172
metersphere/metersphere,2020-02-03T02:06:12Z,10753,3690,18295,3880,1504594,3027
square/javapoet,2013-02-01T16:56:30Z,10670,50,447,114,12800,100
android-async-http/android-async-http,2011-02-20T03:25:07Z,10639,0,872,275,7065,155
apereo/cas,2011-09-09T01:36:42Z,10600,2581,73419,11986,67154,8151
jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10586,0,2043,586,7020,362
cryptomator/cryptomator,2014-02-02T00:43:47Z,10574,1062,3431,590,7214,414
jhy/jsoup,2009-12-19T01:29:58Z,10574,268,2119,648,77746,363
aosp-mirror/platform_frameworks_base,2008-10-21T18:20:37Z,10572,149589,0,0,0,1
tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10482,0,93,22,202,21
lipangit/JiaoZiVideoPlayer,2016-02-06T11:04:24Z,10463,0,502,146,3908,70
OpenRefine/OpenRefine,2012-10-15T02:22:48Z,10419,714,8471,2198,15644,1325
google/auto,2013-05-22T21:41:56Z,10347,274,4679,1930,28332,1127
clojure/clojure,2010-06-29T20:03:33Z,10269,71,3079,1264,109298,811
TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,10253,40,997,481,9286,270
JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10146,0,397,179,1932,67
Activiti/Activiti,2012-09-13T11:34:43Z,9885,116,18830,5313,300111,3332
wasabeef/glide-transformations,2015-01-09T10:33:29Z,9863,0,150,58,75,28
asLody/VirtualApp,2016-07-06T13:25:23Z,9845,31,5430,3675,22168,1421
googlesamples/easypermissions,2015-12-22T18:05:53Z,9806,0,295,49,403,34
debezium/debezium,2016-01-22T20:17:05Z,9795,2090,17111,3663,133840,2462
jwtk/jjwt,2014-09-13T01:06:24Z,9793,77,3077,1098,14271,545
HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9723,0,328,164,621,93
YoKeyword/Fragmentation,2016-02-23T08:54:55Z,9721,0,1486,485,4293,285
ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,9658,0,1680,659,2536,336
hackware1993/MagicIndicator,2016-06-26T08:20:43Z,9645,0,515,138,2775,104
react-native-camera/react-native-camera,2015-04-01T00:54:40Z,9638,0,0,0,0,1
liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,9597,0,653,228,3082,162
lzyzsd/JsBridge,2015-02-26T12:10:58Z,9593,0,98,33,407,29
perwendel/spark,2011-05-05T11:52:05Z,9592,0,1004,287,10413,222
koral--/android-gif-drawable,2013-01-30T01:37:46Z,9502,5,401,107,3823,66
bilibili/DanmakuFlameMaster,2013-08-11T12:18:50Z,9497,0,888,277,8171,173
umano/AndroidSlidingUpPanel,2013-05-31T18:33:53Z,9491,0,84,23,2244,18
lihengming/spring-boot-api-project-seed,2017-06-23T10:06:30Z,9486,0,75,19,146,16
MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,9463,1,6387,1671,101328,1292
stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,9427,267,26405,7232,641172,4406
pockethub/PocketHub,2011-09-08T16:52:50Z,9397,0,1394,314,1917,213
apple/pkl,2024-01-19T17:28:45Z,9262,136,9013,7149,38179,1442
OpenFeign/feign,2013-06-26T23:28:16Z,9235,354,5324,1902,15039,1093
datahub-project/datahub,2015-11-18T05:47:40Z,9128,2275,24199,2630,37937,2231
Justson/AgentWeb,2017-05-12T07:45:56Z,9112,10,1382,381,4811,257
crossoverJie/cim,2018-05-20T15:55:56Z,9106,0,850,226,3343,177
android/testing-samples,2014-10-11T03:51:27Z,9093,21,468,114,268,85
plantuml/plantuml,2010-11-04T15:55:50Z,9469,530,25786,5554,136581,3575
trinodb/trino,2019-01-19T06:38:14Z,9454,6516,0,0,0,1
resilience4j/resilience4j,2015-06-03T09:21:01Z,9381,42,10687,2282,26936,1527
GcsSloop/AndroidNote,2016-01-04T23:51:36Z,9069,0,39,11,65,9
navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9009,0,372,149,554,83
ssssssss-team/spider-flow,2020-03-27T11:07:15Z,9003,0,867,279,3273,162
huanghaibin-dev/CalendarView,2017-03-11T07:16:09Z,8950,0,1156,380,9360,177
didi/VirtualAPK,2017-06-29T07:25:05Z,8948,0,798,263,2865,164
cats-oss/android-gpuimage,2012-10-04T08:11:58Z,8879,0,453,330,1729,154
nathanmarz/storm,2011-09-17T07:55:13Z,8849,0,3779,1102,28143,852
awsdocs/aws-doc-sdk-examples,2016-08-18T19:06:57Z,8837,1163,10069,1542,9854,1498
laobie/StatusBarUtil,2016-02-15T03:06:06Z,8822,0,137,51,744,34
signalapp/Signal-Server,2013-12-09T07:10:36Z,8807,964,9058,1462,16747,1027
PaperMC/Paper,2016-01-22T05:40:19Z,8744,1023,389,34,144,29
zfile-dev/zfile,2019-08-19T13:57:56Z,8729,61,1900,428,1390,274
chrisbanes/Android-PullToRefresh,2011-11-29T09:59:56Z,8714,0,494,173,4579,83
firebase/quickstart-android,2016-04-26T17:13:27Z,8705,90,1203,319,986,233
Freelander/Android_Data,2015-04-04T01:37:44Z,8680,0,4,2,6,3
Blankj/awesome-java-leetcode,2017-04-17T15:51:41Z,8657,0,121,72,84,73
KunMinX/Jetpack-MVVM-Best-Practice,2019-10-31T05:21:01Z,8632,51,576,193,1428,120
chrisjenx/Calligraphy,2013-12-20T02:35:45Z,8589,0,143,36,284,26
json-path/JsonPath,2011-01-24T13:19:19Z,8579,23,1677,547,10779,369
facebook/buck,2013-04-17T18:12:18Z,8571,1,0,0,0,1
ybq/Android-SpinKit,2016-03-20T08:40:51Z,8567,0,342,225,1528,72
SonarSource/sonarqube,2011-01-05T11:05:17Z,8499,2943,59740,9800,207095,8316
junit-team/junit4,2009-01-13T03:41:26Z,8498,6,5679,2073,19066,1472
seven332/EhViewer,2014-05-14T12:03:52Z,8460,0,4294,1095,27203,602
shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8453,1,233,99,1477,67
dropwizard/dropwizard,2011-01-19T19:52:29Z,8447,732,8252,2127,26377,1379
airbnb/epoxy,2016-08-08T23:05:11Z,8440,10,4741,1115,93383,633
roughike/BottomBar,2016-03-16T01:31:05Z,8424,0,324,85,4070,67
spring-projects/spring-security,2012-01-10T21:50:57Z,8348,2355,38324,6700,57819,5340
