nameWithOwner,createdAt,stargazerCount,commitCount,CBO,DIT,LCOM,LOC
arimorty/floatingsearchview,2015-11-22T02:38:32Z,3545,0,482,159,3548,136
google/data-transfer-project,2018-01-04T21:27:57Z,3542,94,5535,1015,5662,807
JakeWharton/ThreeTenABP,2015-07-03T17:35:09Z,3533,20,33,10,10,8
lsjwzh/RecyclerViewPager,2015-01-17T18:30:34Z,3533,0,306,106,708,72
dropbox/hackpad,2015-08-14T02:32:17Z,3532,0,3150,1118,94273,620
WVector/AppUpdate,2017-06-19T09:38:42Z,3531,0,284,74,2377,65
react-native-share/react-native-share,2015-09-30T02:27:34Z,3519,93,222,82,349,41
googlemaps/android-maps-utils,2013-05-17T00:08:48Z,3518,73,1431,344,7900,213
andremion/Music-Player,2016-05-06T21:55:37Z,3513,0,141,56,161,33
undertow-io/undertow,2012-07-19T00:52:44Z,3512,194,15601,3774,110057,3078
uber/NullAway,2017-09-01T17:35:57Z,3512,189,2196,612,21290,507
baoyongzhang/SwipeMenuListView,2014-08-24T15:40:45Z,3509,0,145,48,503,34
bitcoin-wallet/bitcoin-wallet,2012-03-31T17:06:47Z,3509,83,2888,663,2142,388
ZHENFENG13/My-Blog,2019-03-04T09:17:00Z,3498,2,276,61,1714,59
dingjikerbo/Android-BluetoothKit,2015-10-08T09:07:33Z,3479,0,982,299,4507,242
alibaba/Alink,2018-09-30T06:36:11Z,3478,20,51902,13389,283210,8031
KingJA/LoadSir,2017-09-02T08:32:15Z,3447,0,384,115,297,75
crossoverJie/SSM,2016-06-21T10:09:02Z,3441,0,695,251,24155,219
FasterXML/jackson-databind,2011-12-23T07:17:41Z,3441,816,18595,8552,123998,4901
openhab/openhab1-addons,2013-09-20T20:28:43Z,3432,0,0,0,0,1
rubensousa/PreviewSeekBar,2017-01-24T23:52:44Z,3429,10,130,27,648,24
ittianyu/BottomNavigationViewEx,2016-11-12T08:39:38Z,3417,0,142,46,1454,30
shopizer-ecommerce/shopizer,2012-11-21T03:42:39Z,3414,25,9661,2069,42123,1234
anggrayudi/android-hidden-api,2015-09-16T11:58:33Z,3396,0,34,4,226,5
PlexPt/chatgpt-java,2022-12-07T04:55:33Z,3394,133,336,71,82,58
RoaringBitmap/RoaringBitmap,2013-06-17T20:29:23Z,3365,119,3393,685,154626,613
dromara/dynamic-tp,2022-01-07T16:35:27Z,3338,876,2377,645,9217,489
iammert/ScalingLayout,2017-10-01T12:28:34Z,3337,0,90,33,117,28
phodal/migration,2020-01-08T02:11:38Z,3335,0,17,12,1,13
luojilab/DDComponentForAndroid,2017-09-07T05:48:44Z,3327,0,158,67,342,52
spotbugs/spotbugs,2016-11-04T22:18:08Z,3321,434,21499,6728,133698,4945
kevinsawicki/http-request,2011-10-21T19:54:58Z,3320,0,376,187,13189,169
coderbruis/JavaSourceCodeLearning,2020-06-02T13:34:20Z,3319,0,905,399,995,318
woxingxiao/BubbleSeekBar,2016-11-03T14:31:05Z,3317,0,147,39,2751,31
shekhargulati/99-problems,2015-11-22T05:56:33Z,3306,0,226,133,224,134
trojan-gfw/igniter,2018-11-08T22:19:03Z,3304,0,807,216,2798,178
grpc-ecosystem/grpc-spring,2016-12-30T09:06:15Z,3298,197,2652,597,2180,405
googlesamples/mlkit,2020-05-28T21:40:38Z,3297,65,1350,266,1337,179
lihangleo2/ShadowLayout,2019-07-09T07:17:06Z,3295,28,163,41,699,36
fabric8io/kubernetes-client,2015-07-09T15:43:13Z,3280,856,132822,6939,517295,6183
apache/logging-log4j2,2013-06-12T07:00:19Z,3259,1197,18602,5155,155722,3356
eleme/UETool,2018-05-16T08:13:17Z,3256,0,627,197,900,114
java-aodeng/hope-boot,2018-10-17T07:50:48Z,3254,0,687,153,759,122
gouthampradhan/leetcode,2017-03-09T10:30:30Z,3247,0,1002,624,702,625
fesh0r/fernflower,2014-10-03T05:00:15Z,3241,39,2512,764,19785,628
tangqi92/Android-Tips,2015-09-10T09:01:47Z,3237,0,7,7,4,8
ragunathjawahar/android-saripaar,2012-09-08T11:52:30Z,3231,0,776,280,1745,149
jfinal/jfinal,2012-04-25T08:48:48Z,3230,10,2590,844,43876,568
Aliucord/Aliucord,2021-02-27T16:59:06Z,3217,53,574,119,6027,81
guoguibing/librec,2014-01-09T16:06:11Z,3216,0,3287,987,11807,480
bluelinelabs/LoganSquare,2015-02-17T03:24:12Z,3213,0,741,336,1661,193
daimajia/AndroidViewHover,2014-08-08T12:04:43Z,3208,0,68,23,1242,20
bilibili/boxing,2017-01-22T07:04:34Z,3193,0,910,187,2865,138
LinShunKang/MyPerf4J,2018-03-11T09:58:44Z,3189,18,1277,377,3321,326
amulyakhare/TextDrawable,2014-10-19T09:56:45Z,3163,0,102,25,188,19
rom1v/sndcpy,2020-06-09T19:36:57Z,3147,2,31,8,81,5
WinterChenS/my-site,2018-05-03T09:05:37Z,3145,23,557,107,3122,91
hongyangAndroid/Highlight,2015-10-08T15:03:40Z,3143,0,156,51,427,38
OpenHFT/Chronicle-Queue,2013-06-02T15:11:33Z,3140,314,2974,854,89884,536
MiguelCatalan/MaterialSearchView,2015-09-14T17:13:46Z,3824,0,166,54,929,42
linyiqun/DataMiningAlgorithm,2015-01-11T02:50:28Z,3807,0,289,137,1255,127
deepjavalibrary/djl,2019-10-29T22:38:54Z,3799,422,9732,2228,175655,1442
lygttpod/SuperTextView,2016-10-19T04:06:54Z,3766,0,262,100,12184,87
knowm/XChange,2012-02-02T10:48:28Z,3751,194,29851,7786,140555,5154
jMonkeyEngine/jmonkeyengine,2014-03-20T22:29:28Z,3673,230,21156,5600,164973,3256
KunMinX/Linkage-RecyclerView,2019-04-22T04:39:46Z,3617,3,480,116,779,76
nining377/dolby_beta,2020-05-19T12:13:36Z,3596,3,767,269,1471,186
shuzijun/leetcode-editor,2019-03-19T16:32:17Z,3593,15,1868,516,6034,297
bilibili/MagicaSakura,2016-06-23T07:54:59Z,3542,0,697,141,2137,85
code4craft/netty-learning,2013-09-19T02:24:25Z,3537,0,5723,1910,45686,1165
nytimes/Store,2016-11-29T20:17:11Z,3531,0,1798,453,4946,291
fyhertz/libstreaming,2013-01-30T21:24:47Z,3424,0,318,126,2073,90
sherxon/AlgoDS,2016-12-16T17:01:22Z,3419,0,948,713,1002,711
zhkl0228/unidbg,2019-02-26T09:32:15Z,3407,61,8834,2686,44726,1712
yigit/android-priority-jobqueue,2014-06-20T00:12:45Z,3407,0,1816,651,4108,380
uber/AutoDispose,2016-12-22T18:46:11Z,3355,49,1037,183,2762,134
spring-io/initializr,2013-06-07T16:02:22Z,3333,207,4131,904,22316,710
WritingMinds/ffmpeg-android-java,2014-09-11T10:12:09Z,3310,0,137,68,363,48
ferredoxin/QNotified,2019-03-24T05:12:41Z,3286,1,3069,833,24409,512
eishay/jvm-serializers,2010-04-25T03:12:00Z,3274,5,2340,665,16131,359
yacy/yacy_search_server,2015-03-22T12:54:20Z,3234,148,7655,1890,58809,1358
watabou/pixel-dungeon,2014-07-26T17:34:32Z,3457,0,4500,2122,10423,840
JCTools/JCTools,2013-11-10T18:04:40Z,3456,8,3626,3080,15733,789
FongMi/TV,2022-06-22T09:10:23Z,3451,3326,4657,1003,82771,720
xcc3641/SeeWeather,2016-02-20T13:10:14Z,3444,0,522,163,649,107
jtablesaw/tablesaw,2016-01-01T14:58:28Z,3427,17,4146,963,82257,755
avast/android-butterknife-zelezny,2013-12-23T14:24:08Z,3385,0,202,68,464,42
Suwayomi/Suwayomi-Server,2020-12-23T20:31:38Z,3372,336,1357,469,86075,275
immutables/immutables,2013-07-07T13:48:23Z,3362,66,12302,3360,75545,2622
abel533/MyBatis-Spring-Boot,2015-12-19T09:57:22Z,3362,0,104,25,104,21
gsantner/markor,2017-08-26T00:08:35Z,3315,102,2324,506,40216,337
chenBingX/SuperTextView,2017-04-17T11:32:41Z,3295,0,407,138,10390,121
actorapp/actor-platform,2015-06-21T00:29:57Z,3293,0,15966,4752,59362,3279
apache/incubator-kie-optaplanner,2011-02-15T19:38:23Z,3245,330,23375,6073,158547,3246
cSploit/android,2014-10-04T05:53:29Z,3235,0,2155,777,8014,513
android-notes/Cockroach,2017-02-14T03:43:51Z,3225,0,184,67,190,58
apache/linkis,2019-07-23T06:41:51Z,3224,670,12726,3457,85146,2612
pengjianbo/GalleryFinal,2015-09-21T07:01:17Z,3222,0,730,187,5965,132
AxonFramework/AxonFramework,2011-12-02T16:04:42Z,3215,1374,20235,4334,54074,3367
java8/Java8InAction,2013-10-28T23:59:40Z,3181,0,339,209,505,196
zzz40500/GsonFormat,2014-10-31T14:16:39Z,3168,0,297,153,5766,106
tchiotludo/akhq,2018-09-09T19:35:39Z,3165,126,2243,353,8802,275
chrisbanes/ActionBar-PullToRefresh,2013-06-04T14:44:53Z,3154,0,576,180,903,99
KeepSafe/ReLinker,2015-10-15T18:23:00Z,3136,0,138,56,189,44
yangchong211/YCAppTool,2017-09-28T07:44:04Z,3136,180,21938,6226,101782,4714
Marswin/MarsDaemon,2015-12-25T03:21:41Z,3129,0,142,49,178,38
airbnb/native-navigation,2016-09-16T17:16:56Z,3128,0,611,149,3233,111
dunwu/javacore,2017-08-18T11:05:08Z,3125,6,1066,1231,1932,1091
yipianfengye/android-adDialog,2016-08-02T08:00:57Z,3117,0,176,53,740,45
florent37/ShapeOfView,2018-02-18T12:14:06Z,3109,0,238,83,1335,47
Tencent/spring-cloud-tencent,2021-07-29T05:12:42Z,3108,128,4444,674,3718,640
zaaach/CityPicker,2016-02-27T09:11:27Z,3105,0,190,63,275,40
rbmonster/learning-note,2020-06-15T16:47:25Z,3093,37,1444,772,1904,659
bastillion-io/Bastillion,2013-02-07T23:11:49Z,3084,78,464,85,2067,65
guolindev/booksource,2016-10-04T02:55:57Z,3080,0,820,373,322,255
oblador/react-native-keychain,2015-05-20T15:33:48Z,3069,10,393,96,2279,57
bethrobson/Head-First-Design-Patterns,2014-04-28T21:04:55Z,3062,0,1138,687,1555,564
bytedance/ByteX,2020-01-10T12:20:07Z,3062,0,1814,610,5642,348
IrisShaders/Iris,2020-10-22T20:21:12Z,3057,702,5598,1228,20039,938
yarolegovich/SlidingRootNav,2017-03-26T22:58:48Z,3052,0,148,51,727,33
getActivity/Toaster,2018-09-16T05:28:57Z,3051,8,153,46,1319,35
react-native-google-signin/google-signin,2015-08-13T06:13:57Z,3048,41,87,23,111,16
TNG/ArchUnit,2017-04-21T08:39:20Z,3044,220,12853,4591,143807,3595
ZieIony/Carbon,2015-02-04T23:11:18Z,3044,0,3611,763,155471,455
torakiki/pdfsam,2013-09-24T11:06:13Z,3041,154,4374,877,2987,636
zwwill/yanxuan-weex-demo,2017-09-05T11:48:42Z,3039,0,185,242,482,236
xmuSistone/ViewpagerTransition,2016-09-19T05:38:45Z,3037,0,79,25,94,16
elvishew/xLog,2015-12-17T05:50:05Z,3029,0,399,162,4760,139
halirutan/IntelliJ-Key-Promoter-X,2017-07-28T22:09:25Z,3026,24,157,53,453,30
szerhusenBC/jwt-spring-security-demo,2016-03-20T19:16:17Z,3021,0,171,41,163,34
jgilfelt/android-viewbadger,2011-09-27T22:50:57Z,3020,0,58,18,456,15
real-logic/simple-binary-encoding,2013-09-03T09:13:34Z,3016,181,1252,208,62108,185
jd-alexander/LikeButton,2015-12-23T17:49:46Z,3013,0,102,23,373,17
zendesk/maxwell,2015-02-09T22:06:13Z,3901,102,1893,500,9882,309
bluelinelabs/Conductor,2016-03-16T18:42:41Z,3895,12,466,115,6134,86
NotFound9/interviewGuide,2016-04-20T07:17:09Z,3886,11,0,0,0,1
nextcloud/android,2016-06-06T21:23:36Z,3875,3724,5841,1070,54001,611
hneemann/Digital,2016-06-28T17:40:16Z,3864,54,9038,3053,23880,1816
Docile-Alligator/Infinity-For-Reddit,2018-07-26T15:02:51Z,3864,306,11153,2571,43584,1590
Sayi/poi-tl,2015-03-20T06:47:52Z,3860,55,3409,633,47069,526
charles2gan/GDA-android-reversing-Tool,2017-10-31T08:18:29Z,3848,7,41,16,918,17
IoT-Technology/IoT-Technical-Guide,2019-04-02T01:52:44Z,3841,0,1201,367,930,295
exadel-inc/CompreFace,2020-07-06T08:29:43Z,3836,222,2615,552,1297,334
amirzaidi/Launcher3,2017-05-30T12:53:32Z,3800,0,7176,1463,63044,991
jbloch/effective-java-3e-source-code,2018-08-03T20:48:35Z,3793,0,228,240,268,203
sofastack/sofa-rpc,2018-04-09T03:32:04Z,3788,63,7638,1965,36788,1478
Exrick/xboot,2018-04-23T14:44:18Z,3775,0,2588,423,927,350
JeremyLiao/LiveEventBus,2018-07-11T07:36:59Z,3758,0,1051,362,1181,331
stylefeng/Guns,2017-07-06T05:19:54Z,3748,0,133,26,180,20
andOTP/andOTP,2017-07-05T11:39:52Z,3741,0,1012,249,6875,167
s4kibs4mi/java-developer-roadmap,2019-04-23T06:42:13Z,3735,1,0,1,0,2
promeG/TinyPinyin,2015-09-30T03:24:50Z,3722,1,134,71,569,66
yanzhenjie/NoHttp,2015-07-29T06:11:12Z,3706,0,1016,342,10408,229
allure-framework/allure2,2016-05-27T14:06:05Z,3693,197,1625,354,2940,269
apache/incubator-streampark,2019-05-27T05:56:03Z,3679,610,3442,576,10617,467
jlegewie/zotfile,2011-12-30T14:47:42Z,3674,15,0,0,0,1
Atmosphere/atmosphere,2010-06-30T14:26:23Z,3667,40,4883,1174,41273,839
mcxtzhang/SwipeDelMenuLayout,2016-08-25T08:10:45Z,3659,0,124,50,208,41
stfalcon-studio/ChatKit,2017-02-02T09:37:15Z,3656,0,623,313,3832,109
lisawray/groupie,2016-09-01T20:59:35Z,3640,9,474,170,2781,94
RipMeApp/ripme,2017-01-06T17:12:09Z,3615,0,1630,920,9816,343
rockerhieu/emojicon,2014-01-18T12:32:38Z,3612,0,201,61,264,40
yanzhenjie/AndServer,2016-06-14T00:52:52Z,3606,14,1075,330,10283,215
linhaojun857/aurora,2022-08-19T13:39:16Z,3606,114,2179,334,2170,300
ByteLegend/ByteLegend,2021-02-01T10:11:30Z,3600,3,2059,296,214714,296
dongjunkun/DropDownMenu,2015-06-23T07:43:56Z,3592,0,86,26,41,20
kikoso/android-stackblur,2013-08-15T14:44:32Z,3586,0,72,45,24,42
networknt/light-4j,2016-09-09T22:28:14Z,3585,466,5003,1304,26763,1114
tronprotocol/java-tron,2017-12-26T10:20:38Z,3585,725,13960,2934,116205,1570
linkedin/databus,2012-12-17T17:49:17Z,3581,0,8321,2052,70850,1517
johncarl81/parceler,2013-07-03T02:53:01Z,3561,0,2067,594,7299,441
davideas/FlexibleAdapter,2015-05-02T22:00:43Z,3551,0,1964,689,33353,327
luontola/retrolambda,2013-07-20T07:25:22Z,3539,0,592,339,2161,241
vert-x3/vertx-examples,2015-02-24T17:42:44Z,3509,39,1864,670,525,386
hmkcode/Android,2013-09-02T16:12:28Z,3495,0,268,93,116,57
codeestX/GeekNews,2016-08-07T14:56:56Z,3492,0,2031,635,4394,440
spockframework/spock,2010-12-12T19:02:34Z,3482,246,3708,998,23788,687
201206030/novel-plus,2020-05-02T07:15:43Z,3475,91,2520,482,17618,395
huburt-Hu/NewbieGuide,2017-07-28T06:54:05Z,3473,0,336,92,814,79
zhpanvip/BannerViewPager,2017-03-28T09:11:11Z,3465,17,394,103,3392,74
sofastack/sofa-jraft,2019-03-04T10:13:43Z,3453,34,9505,2239,113347,1539
guolindev/giffun,2019-01-28T05:11:00Z,3434,0,2573,611,12112,479
WuKongOpenSource/Wukong_HRM,2023-10-17T05:49:52Z,3432,11,8251,1498,23228,1266
lenve/JavaEETest,2016-12-13T02:13:58Z,3408,0,531,168,566,155
spring-cloud/spring-cloud-kubernetes,2016-12-13T21:36:25Z,3407,549,7843,1307,5276,1056
alamkanak/Android-Week-View,2014-09-17T10:07:12Z,3404,0,98,34,6435,28
GitLqr/LQRWeChat,2017-02-07T06:32:40Z,3390,1,1932,547,7309,387
Snailclimb/guide-rpc-framework,2020-05-10T13:24:42Z,3639,4,386,92,96,80
LibrePDF/OpenPDF,2016-07-11T15:50:34Z,3243,248,5747,1434,84648,923
mbechler/marshalsec,2017-05-22T11:43:57Z,3229,0,525,131,1044,73
eclipse-openj9/openj9,2017-08-25T13:46:07Z,3211,2686,23868,11032,793561,7181
alibaba/cobar,2014-01-15T11:20:09Z,3208,0,5265,2122,43701,1092
amitshekhariitbhu/PRDownloader,2017-11-11T19:29:38Z,3200,1,374,167,1527,161
bauerca/drag-sort-listview,2012-06-01T06:32:13Z,3198,0,306,138,2268,80
facebookarchive/network-connection-class,2015-03-18T02:16:43Z,3182,0,54,21,64,17
wix/react-native-notifications,2016-04-06T13:17:44Z,3176,13,294,69,560,52
nicolasgramlich/AndEngine,2011-11-22T14:20:11Z,3172,0,2981,1344,43946,799
Skykai521/StickerCamera,2015-07-05T14:12:43Z,3169,0,1296,591,11963,318
yangfuhai/afinal,2012-10-17T08:10:00Z,3161,0,374,129,7178,89
danylovolokh/VideoPlayerManager,2015-07-09T21:32:15Z,3148,0,515,156,1183,121
mxdldev/android-mvp-mvvm-flytour,2018-12-25T10:42:31Z,3139,0,1448,700,4971,540
mmin18/RealtimeBlurView,2016-09-21T15:59:51Z,3134,0,95,27,87,16
requery/requery,2015-11-14T00:45:31Z,3132,0,3857,955,18743,711
zhou-you/RxEasyHttp,2017-06-07T09:33:47Z,3124,0,1462,421,16946,356
Netflix/concurrency-limits,2017-12-11T19:32:41Z,3123,21,581,161,958,126
evrencoskun/TableView,2017-06-13T04:29:44Z,3121,0,712,174,6177,108
hitherejoe/animate,2015-11-16T15:06:22Z,3118,0,357,104,215,53
mplushnikov/lombok-intellij-plugin,2013-10-09T21:49:01Z,3108,138,5448,2330,21877,1506
JackyAndroid/AndroidChromium,2016-07-04T07:28:36Z,3067,0,15524,3796,182955,2735
apache/curator,2014-03-03T08:00:07Z,3064,53,6708,1550,15252,1332
Grt1228/chatgpt-java,2023-02-11T08:54:54Z,3055,280,1276,212,2383,193
KeepSafe/dexcount-gradle-plugin,2015-06-04T03:33:17Z,3051,30,328,93,1866,65
gabrielemariotti/RecyclerViewItemAnimators,2014-08-22T00:24:43Z,3050,0,294,93,231,60
JackyAndroid/AndroidTVLauncher,2016-03-27T08:59:19Z,3042,0,167,43,465,31
CrawlScript/WebCollector,2014-07-12T03:16:12Z,3041,4,538,284,4795,106
sofastack/sofa-jarslink,2018-02-02T06:02:09Z,3041,1,118,38,70,34
yusugomori/DeepLearning,2013-01-01T16:23:53Z,3037,0,50,13,28,12
JFormDesigner/FlatLaf,2019-08-19T10:27:05Z,3024,265,2958,2924,51765,805
dmytrodanylyk/android-process-button,2014-05-02T20:39:23Z,3010,0,105,39,511,21
yui/yuicompressor,2008-12-05T19:13:24Z,3010,0,58,22,1238,15
googlesamples/google-services,2015-05-20T22:45:11Z,3006,0,217,51,132,33
AdoptOpenJDK/jitwatch,2013-09-30T14:18:17Z,3001,26,2638,737,16623,587
facebookarchive/react-native-fbsdk,2015-08-03T17:10:14Z,2991,0,258,65,408,37
wildfly/wildfly,2010-07-08T20:46:07Z,2989,2803,86696,19115,247398,13614
smartloli/EFAK,2017-02-04T08:52:23Z,2989,107,978,217,1163,186
pedrovgs/DraggablePanel,2014-04-13T11:40:54Z,2988,0,237,68,2333,46
vran-dev/PrettyZoo,2019-09-28T02:23:21Z,2986,19,899,194,2761,154
bmelnychuk/AndroidTreeView,2015-02-11T02:48:05Z,2983,0,256,65,2230,46
BruceEckel/OnJava8-Examples,2015-04-20T22:34:50Z,2982,0,2755,2421,2762,1884
EngineHub/WorldEdit,2010-09-28T08:11:57Z,2976,212,10826,2119,50065,1581
lovetuzitong/MultiImageSelector,2015-04-08T10:12:50Z,2969,0,138,38,229,30
Tencent/VasDolly,2017-01-19T09:12:31Z,2968,8,81,30,354,24
jasonross/Nuwa,2015-11-11T14:48:23Z,2964,0,20,10,12,9
AsamK/signal-cli,2015-05-11T10:49:42Z,2950,376,3351,760,21857,489
pengwei1024/JsBridge,2015-09-02T03:46:37Z,640,0,311,125,1267,77
c-kzxvldkhX/receiptnotice,2018-08-19T10:46:56Z,640,5,420,146,653,98
react-native-google-cast/react-native-google-cast,2016-05-23T04:06:07Z,640,15,593,177,1272,151
RomanTruba/AndroidTouchGallery,2012-07-02T16:48:54Z,640,0,131,62,225,29
atarw/material-ui-swing,2016-07-23T05:16:10Z,639,0,408,646,151860,194
Will-Ls/WeiYue,2017-11-04T11:07:14Z,639,0,1062,346,11147,256
scottyab/AESCrypt-Android,2014-10-03T10:01:36Z,638,0,6,3,28,3
ilmila/J2EEScan,2015-04-01T06:43:44Z,638,0,1160,114,405,114
nuuneoi/Lab-Android-DesignLibrary,2015-06-20T15:08:54Z,638,0,25,8,12,6
rebeyond/memShell,2018-05-24T02:55:48Z,638,0,37,19,337,18
ZHENFENG13/perfect-ssm,2017-07-07T03:01:15Z,638,0,181,38,237,38
andremion/Louvre,2017-01-25T17:42:19Z,637,0,251,61,551,37
confluentinc/parallel-consumer,2020-06-03T12:36:03Z,637,89,2183,389,7333,240
ImmortalZ/RadarScan,2016-05-05T01:39:22Z,636,0,92,30,343,22
erikwt/PullToRefresh-ListView,2011-07-11T09:53:21Z,636,0,66,19,121,16
ikew0ng/Dribbo,2013-07-18T04:24:29Z,636,0,497,158,1161,93
malmstein/yahnac,2015-02-23T13:01:09Z,636,0,1037,293,2591,215
nisrulz/recyclerviewhelper,2016-03-12T17:01:02Z,636,0,54,20,48,15
yacy/yacy_grid_crawler,2017-04-19T12:18:18Z,636,0,64,12,62,10
livelessons-spring/building-microservices,2015-05-07T17:44:02Z,635,0,1103,245,266,221
devunwired/custom-touch-examples,2012-05-31T13:31:11Z,635,0,113,36,150,19
vikramkakkar/ImageTransition,2016-10-11T15:37:44Z,634,0,90,29,299,21
pinterest/DoctorK,2017-08-21T15:30:24Z,634,0,672,130,696,86
apache/aurora,2013-11-05T08:00:13Z,634,0,9455,1930,13016,1322
SCADA-LTS/Scada-LTS,2016-07-06T15:00:08Z,634,429,18292,3263,135444,2185
spring-projects/spring-modulith,2022-07-05T17:46:27Z,634,359,2670,639,3596,552
MatthewYork/Colours,2014-01-25T04:31:10Z,634,0,15,6,10198,5
HJ-Money/MTransition,2018-06-21T03:58:40Z,633,0,881,245,1843,181
Meituan-Dianping/octo-rpc,2018-12-20T06:49:45Z,633,0,7767,2418,43436,1626
klinker41/android-chips,2014-07-03T02:22:11Z,633,0,326,86,11442,62
digitalfondue/lavagna,2014-10-30T11:46:26Z,633,1,3628,511,7191,420
pavlospt/Android-Studio-Tips-by-Philippe-Breault,2014-09-04T13:05:14Z,632,0,1,1,0,2
mergebase/log4j-detector,2021-12-12T00:29:03Z,631,0,36,25,766,20
eclipse-leshan/leshan,2015-02-06T15:44:24Z,631,228,8301,1439,17413,1103
liaohuqiu/leakcanary-demo,2015-05-09T09:21:02Z,631,0,20,10,7,7
JeasonWong/FlipShare,2016-09-07T10:33:09Z,630,0,57,19,216,17
JakeWharton/RxReplayingShare,2016-03-01T06:41:06Z,629,0,57,18,213,15
google/closure-templates,2014-04-16T15:31:58Z,629,715,19013,3932,101699,2308
HomHomLin/SlidingLayout,2016-04-12T05:28:09Z,629,0,59,27,317,18
googleworkspace/android-samples,2013-11-05T15:42:03Z,628,0,413,122,167,51
Mike-bel/MDStudySamples,2016-08-04T07:23:43Z,628,0,229,88,153,42
gaucho-matrero/altoclef,2020-12-15T02:47:12Z,627,7,3649,803,12145,399
ysnows/DoubleScrollVIew,2015-04-22T01:46:15Z,626,0,81,25,47,16
saulmm/From-design-to-Android-part1,2017-02-25T23:07:37Z,626,0,92,23,107,18
monsonlee/BigData,2016-11-19T02:25:14Z,625,0,247,67,1344,58
Consensys/teku,2018-09-07T09:30:05Z,624,933,38804,6482,172811,4540
Ebryx/AES-Killer,2018-09-24T10:41:41Z,624,0,23,13,62,10
LGH1996/TapClick,2020-02-09T15:25:45Z,622,119,624,212,325,173
wiglenet/wigle-wifi-wardriving,2012-09-16T18:50:59Z,622,183,2064,427,10372,277
jitsi/libjitsi,2013-04-24T21:01:15Z,621,11,5128,1525,49373,984
chiuki/android-test-demo,2015-04-09T03:39:16Z,621,0,61,18,2,14
InstantWebP2P/node-android,2014-08-21T01:19:15Z,621,2,2664,1184,22034,849
babyfish-ct/jimmer,2022-05-03T09:52:05Z,620,1454,11836,2887,51235,1768
JFXtras/jfxtras-styles,2012-08-21T01:28:06Z,620,6,759,152,1044,101
GeekZooStudio/ECMobile_Android,2013-11-11T04:19:05Z,619,0,4740,1278,23564,843
qbhy/poster-generater,2018-12-18T07:35:15Z,618,2,157,49,153,33
Jude95/Beam,2015-07-26T09:26:51Z,617,0,270,89,1129,54
GoogTech/sms-ssm,2019-06-09T13:15:56Z,617,0,153,31,894,32
OpenHFT/Java-Runtime-Compiler,2013-09-24T00:05:33Z,617,25,48,29,142,27
trello/navi,2015-10-06T14:17:51Z,617,0,319,55,709,45
megagao/IndoorPos,2016-06-08T12:35:22Z,616,0,187,113,694,100
lyj8330328/leyou,2018-08-30T05:09:00Z,615,1,1113,216,3687,204
DroidPlanner/Tower,2013-02-19T12:51:08Z,615,0,3330,821,14632,532
Luolc/EmojiRain,2016-12-16T15:35:42Z,614,0,38,10,124,9
MiCode/SoundRecorder,2011-12-29T13:09:48Z,613,0,111,31,613,24
HarinTrivedi/FABRevealMenu-master,2016-09-06T11:49:04Z,613,1,141,29,560,19
matthewrkula/SecretTextView,2014-05-28T04:33:44Z,613,0,24,9,53,7
weavey/LoadingLayoutDemo,2016-11-28T02:38:30Z,613,0,60,21,432,19
mymagicpower/AIAS,2021-06-04T06:13:06Z,613,98,2738,470,3909,421
TakuSemba/RtmpPublisher,2018-01-20T07:39:31Z,613,0,187,54,136,53
jineshfrancs/CaptchaImageView,2016-11-25T06:27:14Z,613,0,38,13,100,12
chanjarster/artemis-disruptor-miaosha,2017-05-05T00:58:53Z,612,0,434,100,385,87
moxie0/AndroidPinning,2011-12-05T03:24:09Z,612,0,48,14,63,10
oracle/fastr,2015-09-24T13:20:14Z,612,228,31743,10907,457327,4250
takimafr/androidkickstartr,2012-09-24T21:05:38Z,610,0,1955,421,30684,279
fashare2015/ActivityTracker,2016-12-26T10:05:20Z,608,0,42,13,16,11
automvc/bee,2018-06-21T14:37:07Z,608,344,157,200,10068,119
desktopqa/Cynthia,2014-07-14T03:06:10Z,608,0,1468,233,49683,204
qiguliuxing/dts-shop,2019-12-08T13:15:50Z,607,0,2351,566,937405,487
canyie/Dreamland,2020-01-24T09:57:05Z,606,37,410,173,4434,97
cdflynn/bubble-scroll,2017-03-10T20:43:43Z,606,0,74,21,376,18
PortSwigger/backslash-powered-scanner,2016-11-02T09:20:09Z,605,19,110,14,179,12
prmr/JetUML,2015-01-07T18:59:09Z,603,201,2975,563,8690,362
Kamilahsantos/Java-week-LinuxTips,2023-03-15T16:36:47Z,601,10,41,26,50,22
nickm980/smallville,2023-05-17T16:11:55Z,601,290,482,141,732,117
sanfengAndroid/FakeXposed,2021-02-03T08:40:09Z,601,0,851,220,4295,149
worldline/FoldableLayout,2015-10-23T14:17:41Z,601,0,75,25,174,20
ryanhoo/PhotoCropper,2012-11-14T02:35:17Z,600,0,41,8,107,8
Taishi-Y/InstagramLikeColorTransitionAndroid,2017-01-06T13:01:41Z,600,0,9,4,0,4
qiurunze123/zookeeperDesign,2018-09-28T14:20:34Z,600,0,74,24,91,25
80945540/LCRapidDevelop,2016-07-20T01:42:49Z,600,0,964,299,5061,208
heinrichreimer/material-drawer,2014-11-12T01:28:05Z,599,0,323,82,3667,64
satorufujiwara/material-scrolling,2015-09-16T12:15:25Z,598,0,185,60,97,40
pinball83/Masked-Edittext,2016-01-11T11:19:54Z,598,0,46,14,198,11
