API Type,Query Type,Response Time,Response Size
REST,user_repos,1.1019337177276611,41079
REST,user_repos,1.126399278640747,41079
REST,user_repos,1.0397629737854004,41079
REST,user_repos,1.0687930583953857,41079
REST,user_repos,1.0871038436889648,41079
REST,user_repos,1.1120586395263672,41079
REST,user_repos,1.0950074195861816,41079
REST,user_repos,1.0895836353302002,41079
REST,user_repos,1.1128756999969482,41079
REST,user_repos,1.1710186004638672,41079
REST,repo_info,1.072126865386963,5103
REST,repo_info,1.0761728286743164,5103
REST,repo_info,1.0423948764801025,5103
REST,repo_info,0.9680566787719727,5103
REST,repo_info,1.0155115127563477,5103
REST,repo_info,1.0199038982391357,5103
REST,repo_info,1.006209373474121,5103
REST,repo_info,1.0559518337249756,5103
REST,repo_info,0.9785120487213135,5103
REST,repo_info,0.9972982406616211,5103
REST,top_repos,1.5970709323883057,57594
REST,top_repos,1.5439789295196533,57594
REST,top_repos,1.7423388957977295,57594
REST,top_repos,1.5612058639526367,57594
REST,top_repos,1.572911262512207,57594
REST,top_repos,1.5318598747253418,57594
REST,top_repos,1.596613883972168,57594
REST,top_repos,1.74269700050354,57594
REST,top_repos,1.4568228721618652,57594
REST,top_repos,1.5515754222869873,57594
GraphQL,user_repos,1.2897906303405762,7068
GraphQL,user_repos,1.344412088394165,7068
GraphQL,user_repos,1.4382781982421875,7068
GraphQL,user_repos,1.3573060035705566,7068
GraphQL,user_repos,1.338057279586792,7068
GraphQL,user_repos,1.37135648727417,7068
GraphQL,user_repos,1.1765005588531494,7068
GraphQL,user_repos,1.3727917671203613,7068
GraphQL,user_repos,1.242825984954834,7068
GraphQL,user_repos,1.3619003295898438,7068
GraphQL,repo_info,0.9913334846496582,140
GraphQL,repo_info,1.0198299884796143,140
GraphQL,repo_info,1.017568588256836,140
GraphQL,repo_info,1.018657922744751,140
GraphQL,repo_info,1.0182361602783203,140
GraphQL,repo_info,0.998906135559082,140
GraphQL,repo_info,0.9777035713195801,140
GraphQL,repo_info,0.9969348907470703,140
GraphQL,repo_info,1.10784912109375,140
GraphQL,repo_info,1.1034481525421143,140
GraphQL,top_repos,1.458301305770874,1169
GraphQL,top_repos,1.4867489337921143,1169
GraphQL,top_repos,1.5839686393737793,1169
GraphQL,top_repos,1.5213401317596436,1169
GraphQL,top_repos,1.5430939197540283,1169
GraphQL,top_repos,1.4369635581970215,1169
GraphQL,top_repos,1.5271286964416504,1169
GraphQL,top_repos,1.5608634948730469,1169
GraphQL,top_repos,1.5563240051269531,1169
GraphQL,top_repos,1.4033379554748535,1169
