Nome,QuantidadePRsMerged,url
freeCodeCamp,22072,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,6458,https://github.com/EbookFoundation/free-programming-books
awesome,644,https://github.com/sindresorhus/awesome
public-apis,1871,https://github.com/public-apis/public-apis
coding-interview-university,398,https://github.com/jwasham/coding-interview-university
developer-roadmap,1817,https://github.com/kamranahmedse/developer-roadmap
996.ICU,1066,https://github.com/996icu/996.ICU
build-your-own-x,135,https://github.com/codecrafters-io/build-your-own-x
system-design-primer,196,https://github.com/donnemartin/system-design-primer
react,9995,https://github.com/facebook/react
vue,1133,https://github.com/vuejs/vue
awesome-python,541,https://github.com/vinta/awesome-python
javascript-algorithms,288,https://github.com/trekhleb/javascript-algorithms
tensorflow,17977,https://github.com/tensorflow/tensorflow
Python,2759,https://github.com/TheAlgorithms/Python
awesome-selfhosted,2395,https://github.com/awesome-selfhosted/awesome-selfhosted
You-Dont-Know-JS,365,https://github.com/getify/You-Dont-Know-JS
CS-Notes,375,https://github.com/CyC2018/CS-Notes
linux,10,https://github.com/torvalds/linux
ohmyzsh,3106,https://github.com/ohmyzsh/ohmyzsh
project-based-learning,182,https://github.com/practical-tutorials/project-based-learning
bootstrap,8698,https://github.com/twbs/bootstrap
computer-science,262,https://github.com/ossu/computer-science
flutter,36892,https://github.com/flutter/flutter
AutoGPT,1547,https://github.com/Significant-Gravitas/AutoGPT
vscode,24384,https://github.com/microsoft/vscode
gitignore,1523,https://github.com/github/gitignore
Python-100-Days,13,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,317,https://github.com/jlevy/the-art-of-command-line
JavaGuide,1002,https://github.com/Snailclimb/JavaGuide
javascript,804,https://github.com/airbnb/javascript
stable-diffusion-webui,1735,https://github.com/AUTOMATIC1111/stable-diffusion-webui
the-book-of-secret-knowledge,122,https://github.com/trimstray/the-book-of-secret-knowledge
youtube-dl,1625,https://github.com/ytdl-org/youtube-dl
transformers,12184,https://github.com/huggingface/transformers
fucking-algorithm,233,https://github.com/labuladong/fucking-algorithm
awesome-go,3131,https://github.com/avelino/awesome-go
next.js,16690,https://github.com/vercel/next.js
